STOCK,100000.0
alpha,0.069
annualized_returns,0.3075
benchmark_annualized_returns,0.302061
benchmark_total_returns,1.776601
beta,0.753
cash,2281.0244
downside_risk,0.187
end_date,2021-06-01
information_ratio,-0.062
max_drawdown,0.349
run_type,BACKTEST
sharpe,1.048
sortino,1.67
start_date,2017-06-01
strategy_file,strategy.py
strategy_name,strategy
total_returns,1.82145
total_value,282145.0244
tracking_error,0.171
unit_net_value,2.8215
units,100000.0
volatility,0.298
